date,country,region,new_cases,total_cases,new_deaths,total_deaths
2021-01-01,Afghanistan,EMRO,183,52513,12,2201
2021-01-02,Afghanistan,EMRO,73,52586,10,2211
2021-01-03,Afghanistan,EMRO,123,52709,10,2221
2021-01-04,Afghanistan,EMRO,200,52909,9,2230
2021-01-05,Afghanistan,EMRO,102,53011,7,2237
2021-01-06,Afghanistan,EMRO,94,53105,7,2244
2021-01-07,Afghanistan,EMRO,102,53207,9,2253
2021-01-08,Afghanistan,EMRO,125,53332,4,2257
2021-01-09,Afghanistan,EMRO,68,53400,7,2264
2021-01-10,Afghanistan,EMRO,89,53489,13,2277
2021-01-11,Afghanistan,EMRO,49,53538,11,2288
2021-01-12,Afghanistan,EMRO,46,53584,13,2301
2021-01-13,Afghanistan,EMRO,106,53690,7,2308
2021-01-14,Afghanistan,EMRO,85,53775,6,2314
2021-01-15,Afghanistan,EMRO,56,53831,10,2324
2021-01-16,Afghanistan,EMRO,107,53938,12,2336
2021-01-17,Afghanistan,EMRO,46,53984,3,2339
2021-01-18,Afghanistan,EMRO,78,54062,4,2343
2021-01-19,Afghanistan,EMRO,79,54141,3,2346
2021-01-20,Afghanistan,EMRO,137,54278,8,2354
2021-01-21,Afghanistan,EMRO,125,54403,9,2363
2021-01-22,Afghanistan,EMRO,80,54483,7,2370
2021-01-23,Afghanistan,EMRO,76,54559,3,2373
2021-01-24,Afghanistan,EMRO,36,54595,5,2378
2021-01-25,Afghanistan,EMRO,77,54672,7,2385
2021-01-26,Afghanistan,EMRO,78,54750,4,2389
2021-01-27,Afghanistan,EMRO,104,54854,0,2389
2021-01-28,Afghanistan,EMRO,37,54891,8,2397
2021-01-29,Afghanistan,EMRO,48,54939,2,2399
2021-01-30,Afghanistan,EMRO,69,55008,1,2400
2021-01-31,Afghanistan,EMRO,15,55023,0,2400
2021-02-01,Afghanistan,EMRO,36,55059,4,2404
2021-02-02,Afghanistan,EMRO,62,55121,1,2405
2021-02-03,Afghanistan,EMRO,53,55174,1,2406
2021-02-04,Afghanistan,EMRO,57,55231,1,2407
2021-02-05,Afghanistan,EMRO,34,55265,0,2407
2021-02-06,Afghanistan,EMRO,65,55330,1,2408
2021-02-07,Afghanistan,EMRO,5,55335,2,2410
2021-02-08,Afghanistan,EMRO,24,55359,3,2413
2021-02-09,Afghanistan,EMRO,25,55384,1,2414
2021-02-10,Afghanistan,EMRO,18,55402,4,2418
2021-02-11,Afghanistan,EMRO,18,55420,1,2419
2021-02-12,Afghanistan,EMRO,25,55445,5,2424
2021-02-13,Afghanistan,EMRO,28,55473,3,2427
2021-02-14,Afghanistan,EMRO,19,55492,0,2427
2021-02-15,Afghanistan,EMRO,22,55514,0,2427
2021-02-16,Afghanistan,EMRO,4,55518,1,2428
2021-02-17,Afghanistan,EMRO,22,55540,0,2428
2021-02-18,Afghanistan,EMRO,17,55557,2,2430
2021-02-19,Afghanistan,EMRO,18,55575,0,2430
2021-02-20,Afghanistan,EMRO,5,55580,0,2430
2021-02-21,Afghanistan,EMRO,24,55604,2,2432
2021-02-22,Afghanistan,EMRO,13,55617,1,2433
2021-02-23,Afghanistan,EMRO,29,55646,2,2435
2021-02-24,Afghanistan,EMRO,18,55664,1,2436
2021-02-25,Afghanistan,EMRO,16,55680,2,2438
2021-02-26,Afghanistan,EMRO,16,55696,4,2442
2021-02-27,Afghanistan,EMRO,11,55707,1,2443
2021-02-28,Afghanistan,EMRO,7,55714,0,2443
2021-03-01,Afghanistan,EMRO,19,55733,1,2444
2021-03-02,Afghanistan,EMRO,26,55759,2,2446
2021-03-03,Afghanistan,EMRO,11,55770,0,2446
2021-03-04,Afghanistan,EMRO,5,55775,0,2446
2021-03-05,Afghanistan,EMRO,52,55827,3,2449
2021-03-06,Afghanistan,EMRO,13,55840,0,2449
2021-03-07,Afghanistan,EMRO,7,55847,0,2449
2021-03-08,Afghanistan,EMRO,29,55876,2,2451
2021-03-09,Afghanistan,EMRO,0,55876,0,2451
2021-03-10,Afghanistan,EMRO,18,55894,0,2451
2021-03-11,Afghanistan,EMRO,23,55917,0,2451
2021-03-12,Afghanistan,EMRO,42,55959,3,2454
2021-03-13,Afghanistan,EMRO,0,55959,0,2454
2021-03-14,Afghanistan,EMRO,26,55985,3,2457
2021-03-15,Afghanistan,EMRO,0,55985,2,2459
2021-03-16,Afghanistan,EMRO,10,55995,1,2460
2021-03-17,Afghanistan,EMRO,21,56016,0,2460
2021-03-18,Afghanistan,EMRO,28,56044,2,2462
2021-03-19,Afghanistan,EMRO,25,56069,0,2462
2021-03-20,Afghanistan,EMRO,24,56093,0,2462
2021-03-21,Afghanistan,EMRO,10,56103,1,2463
2021-03-22,Afghanistan,EMRO,50,56153,1,2464
2021-03-23,Afghanistan,EMRO,24,56177,2,2466
2021-03-24,Afghanistan,EMRO,15,56192,0,2466
2021-03-25,Afghanistan,EMRO,34,56226,1,2467
2021-03-26,Afghanistan,EMRO,28,56254,0,2467
2021-03-27,Afghanistan,EMRO,36,56290,2,2469
2021-03-28,Afghanistan,EMRO,4,56294,1,2470
2021-03-29,Afghanistan,EMRO,28,56322,2,2472
2021-03-30,Afghanistan,EMRO,62,56384,4,2476
2021-03-31,Afghanistan,EMRO,70,56454,8,2484
2021-04-01,Afghanistan,EMRO,63,56517,5,2489
2021-04-02,Afghanistan,EMRO,55,56572,6,2495
2021-04-03,Afghanistan,EMRO,23,56595,1,2496
2021-04-04,Afghanistan,EMRO,81,56676,1,2497
2021-04-05,Afghanistan,EMRO,41,56717,11,2508
2021-04-06,Afghanistan,EMRO,62,56779,4,2512
2021-04-07,Afghanistan,EMRO,94,56873,0,2512
2021-04-08,Afghanistan,EMRO,70,56943,4,2516
2021-04-09,Afghanistan,EMRO,76,57019,5,2521
2021-04-10,Afghanistan,EMRO,125,57144,0,2521
2021-04-11,Afghanistan,EMRO,16,57160,0,2521
2021-04-12,Afghanistan,EMRO,82,57242,8,2529
2021-04-13,Afghanistan,EMRO,122,57364,0,2529
2021-04-14,Afghanistan,EMRO,128,57492,3,2532
2021-04-15,Afghanistan,EMRO,42,57534,1,2533
2021-04-16,Afghanistan,EMRO,78,57612,2,2535
2021-04-17,Afghanistan,EMRO,109,57721,4,2539
2021-04-18,Afghanistan,EMRO,72,57793,0,2539
2021-04-19,Afghanistan,EMRO,105,57898,7,2546
2021-04-20,Afghanistan,EMRO,139,58037,3,2549
2021-04-21,Afghanistan,EMRO,177,58214,8,2557
2021-04-22,Afghanistan,EMRO,98,58312,4,2561
2021-04-23,Afghanistan,EMRO,230,58542,4,2565
2021-04-24,Afghanistan,EMRO,188,58730,7,2572
2021-04-25,Afghanistan,EMRO,113,58843,10,2582
2021-04-26,Afghanistan,EMRO,172,59015,10,2592
2021-04-27,Afghanistan,EMRO,210,59225,6,2598
2021-04-28,Afghanistan,EMRO,145,59370,13,2611
2021-04-29,Afghanistan,EMRO,206,59576,7,2618
2021-04-30,Afghanistan,EMRO,169,59745,7,2625
2021-05-01,Afghanistan,EMRO,194,59939,6,2631
2021-05-02,Afghanistan,EMRO,183,60122,6,2637
2021-05-03,Afghanistan,EMRO,178,60300,5,2642
2021-05-04,Afghanistan,EMRO,263,60563,6,2648
2021-05-05,Afghanistan,EMRO,234,60797,6,2654
2021-05-06,Afghanistan,EMRO,365,61162,10,2664
2021-05-07,Afghanistan,EMRO,293,61455,9,2673
2021-05-08,Afghanistan,EMRO,300,61755,10,2683
2021-05-09,Afghanistan,EMRO,87,61842,3,2686
2021-05-10,Afghanistan,EMRO,221,62063,12,2698
2021-05-11,Afghanistan,EMRO,340,62403,12,2710
2021-05-12,Afghanistan,EMRO,315,62718,3,2713
2021-05-13,Afghanistan,EMRO,327,63045,8,2721
2021-05-14,Afghanistan,EMRO,310,63355,9,2730
2021-05-15,Afghanistan,EMRO,57,63412,3,2733
2021-05-16,Afghanistan,EMRO,72,63484,9,2742
2021-05-17,Afghanistan,EMRO,114,63598,3,2745
2021-05-18,Afghanistan,EMRO,221,63819,6,2751
2021-05-19,Afghanistan,EMRO,303,64122,11,2762
2021-05-20,Afghanistan,EMRO,453,64575,10,2772
2021-05-21,Afghanistan,EMRO,505,65080,10,2782
